feature,feature_family,view,n,missing_fraction,mean,median,min,max,range,std
L_std_top,color_std,top,907,0.0,13.210159101486903,13.38266892011324,3.5522886896077286,26.336858826860013,22.784570137252285,4.263288990756239
R_std_top,color_std,top,907,0.0,13.719010944098116,13.65348869133482,4.650172358440332,29.084066877859065,24.433894519418732,4.099400003995611
a_std_top,color_std,top,907,0.0,5.263123681982928,5.254389960210564,1.2361204114604822,12.077087056643888,10.840966645183407,2.101333706732027
b_std_top,color_std,top,907,0.0,4.568392179870961,4.57096136025246,1.42320665895706,9.675485879973339,8.252279221016279,1.2568818162548079
aspect_ratio_side1,shape,side1,907,0.0,0.9394244076718612,0.9242895147468857,0.7131872261814229,1.3570907135985513,0.6439034874171283,0.09559844823005686
compactness_side1,shape,side1,907,0.0,0.9414385297028492,0.9654018862806407,0.5751686130624061,0.984679329010658,0.40951071594825195,0.06569044469998087
convexity_side1,shape,side1,907,0.0,0.9824525244311473,0.9947168348828441,0.7916676047499278,0.9976759320136802,0.2060083272637524,0.03262903837899078
diago_ratio_side1,shape,side1,907,0.0,0.9994678053612737,0.9998533724340176,0.7548315150765934,1.24060389751839,0.48577238244179655,0.017984525875027663
down_ratio_side1,shape,side1,907,0.0,0.6168479059583087,0.6182858084248375,0.44094790709464815,0.740319774714757,0.2993718676201088,0.04568415508674614
ellipticity_side1,shape,side1,907,0.0,0.8918956577969097,0.8976288437239575,0.6285146607327698,0.9937337299859513,0.3652190692531815,0.053155727206756556
max_width_height_ratio_side1,shape,side1,907,0.0,0.5280142292321849,0.5278037820632839,0.4058338720103426,0.6750181115672542,0.2691842395569116,0.0365137668341373
rectangularity_side1,shape,side1,907,0.0,0.800820200606152,0.8032377298798197,0.6390638536663885,0.84300682549146,0.20394297182507148,0.021144299754978165
roundness_side1,shape,side1,907,0.0,0.9733850573022801,0.9765209082315349,0.8090996309269811,0.9911309618441291,0.18203133091714796,0.013626650427009316
solidity_side1,shape,side1,907,0.0,0.9941671313545507,0.9967616431705342,0.9243971611490966,0.9985001970996972,0.07410303595060053,0.008371366037199674
stem_calyx_ratio_side1,shape,side1,907,0.0,1.1840137527053647,1.0988343856240894,0.0658645276292335,12.717854217854217,12.651989690224983,0.8178010595943289
symmetry_side1,shape,side1,907,0.0,0.937534107231961,0.9447881597557073,0.6670293042563887,0.9829323713186671,0.31590306706227833,0.03043590878803562
up_ratio_side1,shape,side1,907,0.0,0.6804985559341551,0.7056941871236684,0.02669847159643078,0.8175490999626198,0.790850628366189,0.10225527348231128
aspect_ratio_side2,shape,side2,907,0.0,0.9379623034677785,0.9231005669269825,0.7014761016983877,1.3714606988097198,0.6699845971113321,0.1026846460883655
compactness_side2,shape,side2,907,0.0,0.9375105781987808,0.9647432801545909,0.5574322217343679,0.9853073576832886,0.4278751359489207,0.0686693442534871
convexity_side2,shape,side2,907,0.0,0.9809782152443375,0.9949382221332693,0.8030737744560938,0.9979860732084922,0.19491229875239835,0.03386281621595039
diago_ratio_side2,shape,side2,907,0.0,1.0012428178556207,1.0010472623330542,0.8694071124384714,1.1476075667655787,0.2782004543271074,0.012557683800373129
down_ratio_side2,shape,side2,907,0.0,0.619161534038358,0.6237018130610807,0.446767126871948,0.7390664304837705,0.29229930361182255,0.04654121402310721
ellipticity_side2,shape,side2,907,0.0,0.8888561210212902,0.8952252455443815,0.6879474607028377,0.9968026806396031,0.30885521993676535,0.05777352489011826
max_width_height_ratio_side2,shape,side2,907,0.0,0.5263120401222817,0.5278721590048348,0.38185410334346503,0.6167323144216598,0.23487821107819473,0.03721744227238349
rectangularity_side2,shape,side2,907,0.0,0.8010140659796553,0.805681676502044,0.6735729721013851,0.8498105364941091,0.17623756439272398,0.024169048308312183
roundness_side2,shape,side2,907,0.0,0.9721264496778758,0.9753697450873972,0.8310540687028971,0.9919395828566427,0.16088551415374563,0.014171325066261136
solidity_side2,shape,side2,907,0.0,0.9936175771277299,0.9967735578467847,0.9072713781951217,0.9984987329124362,0.09122735471731447,0.00941202410536765
stem_calyx_ratio_side2,shape,side2,907,0.0,1.127905738746936,1.0888888888888888,0.06524882680344865,5.0448533640023,4.979604537198852,0.4755691717531593
symmetry_side2,shape,side2,907,0.0,0.93893027823397,0.9449504282618194,0.7984245201538069,0.9830427350055486,0.18461821485174168,0.028807738055092263
up_ratio_side2,shape,side2,907,0.0,0.6759661092144951,0.7125906629435013,0.02267490476632909,0.8093378416455339,0.7866629368792049,0.12580268618734475
aspect_ratio_top,shape,top,907,0.0,1.0067674584723216,1.0055452865064696,0.8733624454148472,1.2180851063829787,0.34472266096813153,0.04152721470632297
compactness_top,shape,top,907,0.0,0.9704939529192603,0.9839062904209205,0.7102302170920552,0.9924531568304177,0.28222293973836243,0.0352315663362401
convexity_top,shape,top,907,0.0,0.9883845233429174,0.9950504473438784,0.8545627366655666,0.9982831836113668,0.14372044694580022,0.017298980544390895
diago_ratio_top,shape,top,907,0.0,1.0073877558630475,1.0062893081761006,0.8879668049792531,1.1294117647058823,0.24144495972662927,0.037520517677158735
down_ratio_top,shape,top,907,0.0,0.5939506249327109,0.59391771019678,0.4826666666666667,0.7510822510822511,0.26841558441558444,0.03077811078101404
ellipticity_top,shape,top,907,0.0,0.9535854742576618,0.9586632110261248,0.8149025276400266,0.9986928244140548,0.18379029677402825,0.026236859604093415
max_width_height_ratio_top,shape,top,907,0.0,0.48399388202603083,0.48394004282655245,0.3857442348008386,0.6231343283582089,0.23739009355737034,0.0275267169254295
rectangularity_top,shape,top,907,0.0,0.7800370306169208,0.7806332742355027,0.7399461649461649,0.8312296386089856,0.09128347366282064,0.01005128785925242
roundness_top,shape,top,907,0.0,0.9930627212250273,0.9941435432958524,0.9449153599086056,0.9972700670169107,0.05235470710830503,0.003931626686496214
solidity_top,shape,top,907,0.0,0.9978622551627685,0.9982169780737188,0.9852954969612863,0.999084148162786,0.013788651201499746,0.0011965741245545758
stem_calyx_ratio_top,shape,top,907,0.0,1.0525467555630652,1.0461538461538462,0.5024390243902439,2.3469387755102042,1.8444997511199603,0.16576422114955192
symmetry_top,shape,top,907,0.0,0.9523121447310715,0.9584369268392093,0.8429345494097572,0.9898925878977917,0.14695803848803446,0.024394581974657874
up_ratio_top,shape,top,907,0.0,0.5962859123549881,0.59765625,0.4657534246575342,0.7537473233404711,0.2879938986829369,0.033223428898349165
area_side1,size,side1,907,0.0,196138.77480705624,194954.0,61444.75,377438.0,315993.25,54197.46427524175
height_side1,size,side1,907,0.0,474.3048511576626,474.5,259.0,693.0,434.0,72.54952224048961
perimeter_side1,size,side1,907,0.0,1600.8665588202393,1600.495941221714,1061.6330747008324,2226.012762784958,1164.3796880841255,208.40407172738222
width_side1,size,side1,907,0.0,506.9685777287762,511.0,304.0,785.0,481.0,74.69584281798002
area_side2,size,side2,907,0.0,198125.6717199559,197018.5,46314.0,420028.75,373714.75,56924.69435470265
height_side2,size,side2,907,0.0,474.912348401323,476.0,174.5,784.0,609.5,73.8640746577988
perimeter_side2,size,side2,907,0.0,1609.3933451698133,1613.0722420215607,706.7939372062683,2543.286088049412,1836.4921508431435,222.3263287048245
width_side2,size,side2,907,0.0,509.6918412348401,514.0,194.5,805.0,610.5,81.17826852021079
area_top,size,top,907,0.0,184535.68136714443,181390.0,58216.0,438605.5,380389.5,60732.05496558776
height_top,size,top,907,0.0,481.529217199559,483.0,272.0,780.0,508.0,83.16545104163322
perimeter_top,size,top,907,0.0,1524.1379742736722,1524.25767993927,904.3473217487335,2585.4368458986282,1681.0895241498947,253.9193486356642
width_top,size,top,907,0.0,478.10363836824695,480.0,272.0,750.0,478.0,78.94539607031622
contrast_side1,texture,side1,907,0.0,6.301128428791054,6.33527313027313,1.985182325182325,12.612549692549694,10.627367367367368,1.8782062771369545
correlation_side1,texture,side1,907,0.0,0.9962930893422223,0.9963991753165877,0.9930581927677906,0.9974324629528336,0.004374270185042994,0.0005448761990767315
dissimilarity_side1,texture,side1,907,0.0,0.19274248811735034,0.1933833833833834,0.052277277277277275,0.40376876876876877,0.3514914914914915,0.056995892067676364
energy_side1,texture,side1,907,0.0,0.8871840074392294,0.8882071509858365,0.7695218122892793,0.9712872797141934,0.20176546742491408,0.034672924651578806
entropy_side1,texture,side1,907,0.0,1.350294887195466,1.3431291000511167,0.36696172493369694,2.6631455610715102,2.2961838361378133,0.36776481959403556
homogeneity_side1,texture,side1,907,0.0,0.9475156047943855,0.9478318788146486,0.8824152690199191,0.9884818229997627,0.10606655397984366,0.017206358203116383
contrast_side2,texture,side2,907,0.0,6.362885015272005,6.327691262691264,2.0545524095524095,12.21383168883169,10.15927927927928,1.882225033454116
correlation_side2,texture,side2,907,0.0,0.9963495942556073,0.9964441072328176,0.9918655037327108,0.9984657254326368,0.006600221699926023,0.0005920727313427633
dissimilarity_side2,texture,side2,907,0.0,0.17891206137622895,0.17935292435292435,0.04948090948090948,0.3583569283569284,0.3088760188760189,0.050482730352353206
energy_side2,texture,side2,907,0.0,0.8858680644943037,0.8867984337022621,0.7427061000528006,0.9763974220860732,0.23369132203327259,0.036425123013669645
entropy_side2,texture,side2,907,0.0,1.340288962783099,1.3338626733436294,0.3273444960317887,2.626787637651163,2.2994431416193746,0.37395631576590255
homogeneity_side2,texture,side2,907,0.0,0.9504643641438575,0.9507364728947895,0.8915791724019202,0.9886563174538605,0.09707714505194032,0.016138382374263776
contrast_top,texture,top,907,0.0,6.259892116088367,6.257415987415987,1.9015172315172313,12.351028171028172,10.44951093951094,1.879194200131011
correlation_top,texture,top,907,0.0,0.9961340294549468,0.9962339704840819,0.9927446933878757,0.9976499807592171,0.004905287371341327,0.0006924270386657194
dissimilarity_top,texture,top,907,0.0,0.20709204242831586,0.20009867009867013,0.04972829972829972,0.5342714142714143,0.4845431145431146,0.07480141064730084
energy_top,texture,top,907,0.0,0.8948202545623244,0.8972094230187148,0.7294367217899987,0.973152461703894,0.24371573991389528,0.03874036635136647
entropy_top,texture,top,907,0.0,1.3408287890395407,1.3246839024435972,0.3561053480337085,3.1589286604596323,2.802823312425924,0.44282995750235304
homogeneity_top,texture,top,907,0.0,0.9460005248500962,0.9478627526633454,0.8492356699856868,0.9891919591713323,0.1399562891856455,0.02150882145269078
